央视频道,#genre#
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8


CCTV-1 综合,https://live.metshop.top/hbgd.php?id=cctv1hd_3000
CCTV-2 财经,https://live.metshop.top/hbgd.php?id=cctv2hd_3000
CCTV-3 综艺,https://live.metshop.top/hbgd.php?id=cctv3hd_3000
CCTV-4 中文国际,https://live.metshop.top/hbgd.php?id=cctv4_1000
CCTV-5 体育,https://live.metshop.top/hbgd.php?id=cctv5hd_3000
CCTV-5+ 体育赛事,https://live.metshop.top/hbgd.php?id=cctv5jhd_3000
CCTV-6 电影,https://live.metshop.top/hbgd.php?id=cctv6hd_3000
CCTV-7 国防军事,https://live.metshop.top/hbgd.php?id=cctv7hd_3000
CCTV-8 电视剧,https://live.metshop.top/hbgd.php?id=cctv8hd_3000
CCTV-9 纪录,https://live.metshop.top/hbgd.php?id=cctv9hd_3000
CCTV-10 科教,https://live.metshop.top/hbgd.php?id=cctv10hd_3000
CCTV-11 戏曲,https://live.metshop.top/hbgd.php?id=cctv11_1000
CCTV-12 社会与法,https://live.metshop.top/hbgd.php?id=cctv12hd_3000
CCTV-13 新闻,https://live.metshop.top/hbgd.php?id=cctv13_1000
CCTV-14 少儿,https://live.metshop.top/hbgd.php?id=cctv17hd_3000
CCTV-15 音乐,https://live.metshop.top/hbgd.php?id=cctv14_1000
CCTV-16 奥林匹克,https://live.metshop.top/hbgd.php?id=cctv16hd_3000
CCTV-17 农业农村,https://live.metshop.top/hbgd.php?id=cctv14hd_3000


CCTV-1 综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226635/1.m3u8?
CCTV-2 财经,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226739/1.m3u8?
CCTV-3 综艺,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226720/1.m3u8
CCTV-4 中文国际,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV-5 体育,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV-5+ 体育赛事,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV-6 电影,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8
CCTV-6 电影,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226721/1.m3u8
CCTV-8 电视剧,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226715/1.m3u8
CCTV-9 纪录,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226657/1.m3u8
CCTV-9 纪录,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226651/1.m3u8
CCTV-10 科教,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226708/1.m3u8
CCTV-11 戏曲,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226714/1.m3u8?
CCTV-12 社会与法,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226723/1.m3u8?
CCTV-12 社会与法,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226748/1.m3u8?
CCTV-13 新闻,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226717/1.m3u8
CCTV-14 少儿,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226645/1.m3u8
CCTV-14 少儿,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226663/1.m3u8
CCTV-16 奥林匹克,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8?$8M1080
